symbol,company_name,year,tax,revenue,earnings,cash_only,total_debt,fixed_assets,gross_profit,total_assets,total_equity,operating_pnl,total_liabilities,current_liabilities,earnings_before_tax,cash_and_equivalents,total_cash_and_due_from_banks
AGRO.JK,PT Bank Raya Indonesia Tbk,2018,88297000000.0,718560000000,204213000000.0,,579097000000.0,,,23313671000000,4424286000000,283124000000.0,18889385000000,,292509000000,,3462400000000.0
AGRO.JK,PT Bank Raya Indonesia Tbk,2019,23137000000.0,752911000000,51061000000.0,,1244014000000.0,,,27067923000000,4481704000000,63903000000.0,22586219000000,,74198000000,,2007795000000.0
AGRO.JK,PT Bank Raya Indonesia Tbk,2020,32811000000.0,677980000000,31261000000.0,,471626000000.0,,,28015492000000,4287690000000,51940000000.0,23727802000000,,64072000000,,2286585000000.0
AGRO.JK,PT Bank Raya Indonesia Tbk,2021,-257430000000.0,932001000000,-3045701000000.0,,559529000000.0,,,16866523000000,2457663000000,-3348995000000.0,14408859000000,,-3303131000000,,1947467000000.0
AGRO.JK,PT Bank Raya Indonesia Tbk,2022,104726000000.0,714158000000,11461000000.0,,386282000000.0,,,13898775000000,3389087000000,-455082000000.0,10509688000000,,116186000000,,1937164000000.0
AGRO.JK,PT Bank Raya Indonesia Tbk,2023,104039980000.0,555213000000,,1123157140000.0,90780000.0,,,12440642240000,3420249980000,,9020392260000,,128391020000,,
AGRS.JK,PT Bank IBK Indonesia Tbk.,2018,1262000000.0,141825000000,-31122000000.0,,41796000000.0,,,4151151000000,532803000000,-67474000000.0,3618348000000,,-29860000000,,262126000000.0
AGRS.JK,PT Bank IBK Indonesia Tbk.,2019,405000000.0,174277000000,-248836000000.0,,293299000000.0,,,6421844000000,1202600000000,-281127000000.0,5219244000000,,-259120000000,,771932000000.0
AGRS.JK,PT Bank IBK Indonesia Tbk.,2020,4277000000.0,211520000000,-147673000000.0,,2995045000000.0,,,9854035000000,1899838000000,-172592000000.0,7954197000000,,-172586000000,,2047267000000.0
AGRS.JK,PT Bank IBK Indonesia Tbk.,2021,-2705000000.0,378757000000,12770000000.0,,4893026000000.0,,,14286910000000,2995582000000,10192000000.0,11291328000000,,10065000000,,3299596000000.0
AGRS.JK,PT Bank IBK Indonesia Tbk.,2022,-8302000000.0,517655000000,103454000000.0,,5581940000000.0,,,18304587000000,4168265000000,101223000000.0,14136322000000,,95152000000,,3538959000000.0
AGRS.JK,PT Bank IBK Indonesia Tbk.,2023,-6650000000.0,601261000000,,2822001000000.0,4300580000.0,,,19377403000000,5368679000000,,14008724000000,,176645000000,,
AMAR.JK,PT Bank Amar Indonesia Tbk.,2018,5970000000.0,275546000000,16291000000.0,,231681000000.0,,,1856522000000,485902000000,24158000000.0,1370620000000,,22260000000,,212849000000.0
AMAR.JK,PT Bank Amar Indonesia Tbk.,2019,20080000000.0,604583000000,61427000000.0,,457930000000.0,,,3452515000000,1078408000000,85089000000.0,2374107000000,,81507000000,,288583000000.0
AMAR.JK,PT Bank Amar Indonesia Tbk.,2020,17520000000.0,587092000000,8586000000.0,,641458000000.0,,,4057989000000,1067031000000,29282000000.0,2990958000000,,26106000000,,364966000000.0
AMAR.JK,PT Bank Amar Indonesia Tbk.,2021,-3300000000.0,599663000000,4115000000.0,,847864000000.0,,,5203045000000,1066584000000,7043000000.0,4136461000000,,815000000,,1030259000000.0
AMAR.JK,PT Bank Amar Indonesia Tbk.,2022,-47229000000.0,815795000000,-155381000000.0,,266253000000.0,,,4505046000000,3176199000000,-201627000000.0,1328846000000,,-202610000000,,291824000000.0
AMAR.JK,PT Bank Amar Indonesia Tbk.,2023,42053000000.0,1197254000000,,1079286000000.0,10010000.0,,,4379417000000,3295469000000,,1083948000000,,220025000000,,
ARTO.JK,PT Bank Jago Tbk.,2018,4936000000.0,29204000000,-23288000000.0,,24175000000.0,,,664673000000,115559000000,-18460000000.0,549114000000,,-18352000000,,123094000000.0
ARTO.JK,PT Bank Jago Tbk.,2019,3171000000.0,12635000000,-121966000000.0,,27926000000.0,,,1321057000000,681179000000,-92290000000.0,639878000000,,-118795000000,,62920000000.0
ARTO.JK,PT Bank Jago Tbk.,2020,,66499000000,-189567000000.0,,72912000000.0,,,2179873000000,1232333000000,-185731000000.0,947540000000,,-189567000000,,316571000000.0
ARTO.JK,PT Bank Jago Tbk.,2021,-76890000000.0,609270000000,86024000000.0,,63692000000.0,,,12312422000000,8249455000000,10503000000.0,4062967000000,,9134000000,,1404481000000.0
ARTO.JK,PT Bank Jago Tbk.,2022,4515000000.0,1430836000000,15913000000.0,,59680000000.0,,,16965295000000,8263757000000,12719000000.0,8701538000000,,20428000000,,1278474000000.0
ARTO.JK,PT Bank Jago Tbk.,2023,21201000000.0,1574249000000,72362000000.0,2954365000000.0,54710000.0,,,21295840000000,8356792000000,,12939048000000,,93563000000,,
BABP.JK,PT Bank MNC Internasional Tbk.,2018,22379000000.0,540981000000,57021000000.0,,740092000000.0,,,10854855000000,1429990000000,80628000000.0,9424865000000,,79400000000,,1407684000000.0
BABP.JK,PT Bank MNC Internasional Tbk.,2019,9906000000.0,552663000000,20433000000.0,,393715000000.0,,,10607879000000,1559450000000,64784000000.0,9048429000000,,30339000000,,870191000000.0
BABP.JK,PT Bank MNC Internasional Tbk.,2020,5540000000.0,533844000000,10414000000.0,,535389000000.0,,,11652904000000,1551237000000,18739000000.0,10101667000000,,15954000000,,1332921000000.0
BABP.JK,PT Bank MNC Internasional Tbk.,2021,9679000000.0,546098000000,12868000000.0,,131542000000.0,,,14015360000000,2365457000000,26361000000.0,11649903000000,,22547000000,,1701782000000.0
BABP.JK,PT Bank MNC Internasional Tbk.,2022,101556000000.0,763906000000,52505000000.0,,574374000000.0,,,16862363000000,2712334000000,156075000000.0,14150029000000,,154061000000,,2701096000000.0
BABP.JK,PT Bank MNC Internasional Tbk.,2023,43526000000.0,742028000000,77916000000.0,82833000000.0,,,,18147378000000,3587434000000,,14559944000000,,121442000000,,3659710000000.0
BACA.JK,PT Bank Capital Indonesia Tbk,2018,35573000000.0,580359000000,106500000000.0,,966277000000.0,,,18019614000000,1484963000000,157538000000.0,16534651000000,,142073000000,,4445906000000.0
BACA.JK,PT Bank Capital Indonesia Tbk,2019,8065000000.0,558166000000,15884000000.0,,1182120000000.0,,,18959622000000,1537640000000,32752000000.0,17421982000000,,23949000000,,2001702000000.0
BACA.JK,PT Bank Capital Indonesia Tbk,2020,17545000000.0,361462000000,61414000000.0,,1974306000000.0,,,20223558000000,1640391000000,81752000000.0,18583167000000,,78959000000,,3241989000000.0
BACA.JK,PT Bank Capital Indonesia Tbk,2021,13909000000.0,414584000000,34785000000.0,,1221137000000.0,,,22325883000000,2122771000000,56832000000.0,20203112000000,,48694000000,,6833177000000.0
BACA.JK,PT Bank Capital Indonesia Tbk,2022,9315000000.0,514187000000,32129000000.0,,3066384000000.0,,,20628501000000,3287537000000,57543000000.0,17340964000000,,41444000000,,3715224000000.0
BACA.JK,PT Bank Capital Indonesia Tbk,2023,28873000000.0,652483000000,101767000000.0,57210000000.0,271279999999.0,,,19259187000000,3390320000000,,15868867000000,,130640000000,,2165864000000.0
BANK.JK,PT Bank Aladin Syariah Tbk,2018,502000000.0,63421000000,-64720000000.0,,,,,661912000000,530263000000,-89765000000.0,131649000000,,-64218000000,,371129000000.0
BANK.JK,PT Bank Aladin Syariah Tbk,2019,-330000000.0,53183000000,77304000000.0,,,,,715623000000,595717000000,8556000000.0,119906000000,,76974000000,,113799000000.0
BANK.JK,PT Bank Aladin Syariah Tbk,2020,,27157000000,44868000000.0,,4000000.0,,,721397000000,641274000000,42471000000.0,80123000000,,44868000000,,53445000000.0
