symbol,company_name,overview.listing_board,overview.industry,overview.sub_industry,overview.sector,overview.sub_sector,overview.market_cap,overview.market_cap_rank,overview.address,overview.employee_num,overview.listing_date,overview.website,overview.phone,overview.email,overview.last_close_price,overview.latest_close_date,overview.daily_close_change
AGRO.JK,PT Bank Raya Indonesia Tbk,Main,Banks,Banks,Financials,Banks,6531491823616,171,Menara BRILiaN Lt. 20 Jalan Gatot Subroto No. 177 A Kel. Menteng Dalam Kecamatan Tebet Jakarta Selatan DKI Jakarta,709,2003-08-08,bankraya.co.id,021-50931300,humas@bankraya.co.id,264,2024-09-09,-0.0222222222222222
AGRS.JK,PT Bank IBK Indonesia Tbk.,Development,Banks,Banks,Financials,Banks,3552532496384,241,Wisma GKBI Suite UG-01 Jl. Jend. Sudirman No. 28 Jakarta 10210 Indonesia,521,2014-12-22,www.ibk.co.id,+62 21 5790 8888,corsec@ibk.co.id,75,2024-09-09,-0.0131578947368421
AMAR.JK,PT Bank Amar Indonesia Tbk.,Development,Banks,Banks,Financials,Banks,3999041323008,227,"Jl. Basuki Rahmad No. 109, Surabaya, 60271",1146,2020-01-09,www.amarbank.co.id,(031) 99015959,corsec@amarbank.co.id,222,2024-09-09,-0.0176991150442478
ARTO.JK,PT Bank Jago Tbk.,Main,Banks,Banks,Financials,Banks,38137153716224,53,"Menara BTPN Lt. 46 Jl. Dr. Ide Anak Agung Gde Agung Kav. 5.5-5.6, Jakarta Selatan",501,2016-01-12,www.jago.com,021-50927460 & 021-50927490,corporate.communications@jago.com,2780,2024-09-09,0.0
BABP.JK,PT Bank MNC Internasional Tbk.,Development,Banks,Banks,Financials,Banks,3289965920256,245,"Gedung MNC Bank Tower Lantai 8, Jl. Kebon Sirih No.21-27, Jakarta 10340",940,2002-07-15,www.mncbank.co.id,2980-5555,corporate.legal@mncbank.co.id,74,2024-09-09,0.0
BACA.JK,PT Bank Capital Indonesia Tbk,Main,Banks,Banks,Financials,Banks,2613843066880,275,"Menara Jamsostek Lantai 6, Jl, Gatot Subroto No. 38",793,2007-10-04,www.bankcapital.co.id,(021)27938989,helpdesk.corpsec@bankcapital.co.id,131,2024-09-09,0.0
BANK.JK,PT Bank Aladin Syariah Tbk,Main,Banks,Banks,Financials,Banks,12647943634944,114,"Gedung Millennium Centennial Center Lt 7 Jl. Jenderal Sudirman Kav. 25 Jakarta Selatan, 12920",294,2021-02-01,www.aladinbank.id,+62 21 3970 8008,corsec@aladinbank.id,865,2024-09-09,-0.00574712643678161
BBCA.JK,PT Bank Central Asia Tbk.,Main,Banks,Banks,Financials,Banks,1266650682753024,2,"Menara BCA, Grand Indonesia
Jalan MH Thamrin No. 1
Jakarta 10310",27547,2000-05-31,www.bca.co.id,021-23588000,investor_relations@bca.co.id,10275,2024-09-09,-0.00242718446601942
BBHI.JK,PT Allo Bank Indonesia Tbk,Main,Banks,Banks,Financials,Banks,21404344909824,85,"Menara Bank Mega, Lantai 5-6, Jalan Kapten P. Tendean No.12-14A, Jakarta Selatan 12790",483,2015-08-12,www.allobank.com,021-7990671-021-79184705-021-79182387,corsec@allobank.com,985,2024-09-09,-0.0100502512562814
BBKP.JK,PT Bank KB Bukopin Tbk,Main,Banks,Banks,Financials,Banks,12212719583232,123,Gedung Bank KB Bukopin Jl. M.T. Haryono Kav.50-51 Jakarta 12770,2713,2006-07-10,www.kbbukopin.com,798-8266,investor.relations@kbbukopin.com; corsec@kbbukopin.com,65,2024-09-09,-0.0151515151515152
BBMD.JK,PT Bank Mestika Dharma Tbk.,Development,Banks,Banks,Financials,Banks,8577658912768,145,"Jl. H. Zainul Arifin No. 118, Medan",1086,2013-07-08,www.bankmestika.com,061-4525800,corsec@bankmestika.co.id,2130,2024-09-09,0.0390243902439024
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk,Main,Banks,Banks,Financials,Banks,213527033806848,10,"Grha BNI Lantai 24
Jl. Jenderal Sudirman Kavling 1
Jakarta Pusat 10220",27197,1996-11-25,www.bni.co.id,"021-2511946, 021-5728387",bni@bni.co.id,5725,2024-09-09,0.0132743362831858
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk,Main,Banks,Banks,Financials,Banks,791728432873472,4,"Gedung BRI I Lantai 20
Jl. Jenderal Sudirman Kav.44-46, Jakarta Pusat 10210",80257,2003-11-10,www.bri.co.id,021 - 575 1966,humas@bri.co.id; corsec@bri.co.id,5175,2024-09-09,-0.00956937799043062
BBSI.JK,PT Krom Bank Indonesia Tbk,Development,Banks,Banks,Financials,Banks,15727801139200,102,"Jl. Ir. H.Juanda No.137 Lb. Siliwiangi Bandung - Jawa Barat, 40132",233,2020-09-07,www.bankbisnis.id,"(62-22) 2501787, 2511900",corsec@krom.id,4280,2024-09-09,0.0
BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk,Main,Banks,Banks,Financials,Banks,19648160464896,87,"Gedung Menara BTN, Jl.Gajah Mada No. 1, Jakarta 10130",11386,2009-12-17,www.btn.co.id,021-6336789,achmad.chaerul@btn.co.id,1400,2024-09-09,-0.00355871886120996
BBYB.JK,PT Bank Neo Commerce Tbk.,Main,Banks,Banks,Financials,Banks,3700760248320,236,"Treasury Tower Lantai 60 Kawasan District 8, Lot 28, SCBD, Jalan Jenderal Sudirman Kav. 52-53 Jakarta 12190",1137,2015-01-13,http://www.bankneocommerce.co.id/,021-27094950  021-27094951,corsec@bankneo.co.id,280,2024-09-09,-0.020979020979021
BCIC.JK,PT Bank JTrust Indonesia Tbk.,Development,Banks,Banks,Financials,Banks,1955869229056,330,"Gedung Sahid Sudirman Center, Lantai 33, Jl. jend.Sudirman No. 86 Jakarta Pusat 10220",913,1997-06-25,www.jtrustbank.co.id,021 2926 1111,,108,2024-09-09,0.0693069306930693
BDMN.JK,PT Bank Danamon Indonesia Tbk,Main,Banks,Banks,Financials,Banks,25508964204544,75,"Menara Bank Danamon, Jl. HR. Rasuna Said, Blok C No 10, Kel. Karet, Kec. Setiabudi, Jakarta Selatan",23244,1989-12-06,http://www.danamon.co.id/,(021) 80645000,corporate.secretary@danamon.co.id,2610,2024-09-09,-0.00381679389312977
BEKS.JK,PT Bank Pembangunan Daerah Banten Tbk.,Watchlist,Banks,Banks,Financials,Banks,147451625472,739,"Jl. Sudirman Lingkungan Kemang, Ruko Sembilan No. 4, 5 dan 6, Kel. Sumur Pecung, Serang, Banten",832,2001-07-13,www.bankbanten.co.id,0254 - 7917346,corporate.secretary@bankbanten.co.id,23,2024-09-09,0.0
BGTG.JK,PT Bank Ganesha Tbk.,Development,Banks,Banks,Financials,Banks,1582085963776,365,"Wisma Hayam Wuruk Lt. 1-2, Jln. Hayam Wuruk No. 8, Jakarta Pusat 10120",280,2016-05-12,www.bankganesha.co.id,+6221-29109900 (Hunting),corpsect@bankganesha.co.id,66,2024-09-09,0.0153846153846154
BINA.JK,PT Bank Ina Perdana Tbk.,Main,Banks,Banks,Financials,Banks,24600226299904,78,Ariobimo Sentral,540,2014-01-16,www.bankina.co.id,021 2525678,corp_sec@bankina.co.id,4010,2024-09-09,-0.00248756218905473
BJBR.JK,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,Main,Banks,Banks,Financials,Banks,10468792991744,134,"Menara Bank Jabar Banten Jl. Naripan No. 12-14, Bandung 40111, Jawa Barat",9261,2010-07-08,www.bankjabarbanten.co.id,(022) 423 4868,c.trisna@bankjabar.co.id,995,2024-09-09,-0.005
BJTM.JK,Bank Pembangunan Daerah Jawa Timur Tbk,Main,Banks,Banks,Financials,Banks,8633912393728,144,Jl Basuki Rachmad 98-104 Surabaya,4198,2012-07-12,www.bankjatim.co.id,(031) 5310090-99 ext.463,iru@bankjatim.co.id,575,2024-09-09,0.0
BKSW.JK,PT Bank QNB Indonesia Tbk,Watchlist,Banks,Banks,Financials,Banks,2179796041728,315,"Revenue Tower, District 8, SCBD, Jl. Jenderal Sudirman Kav. 52-53, Jakarta 12190",389,2002-11-21,qnb.co.id,021-5155155,corporate.communication@qnb.co.id,62,2024-09-09,0.0
